mu,record,split,avAE_bpm,sdAE_bpm,avRE_percent,pearson_r
0.01,TEST_S03_T02,competition,15.343191997327304,14.553832963458518,9.547232634711618,0.4861997324751119
0.01,TEST_S04_T02,competition,4.108146213644803,3.559576387674161,3.407090400032047,0.907895349984162
0.01,TEST_S05_T02,competition,6.8312304687499985,8.274391571461727,5.058793858600147,0.6150312552515107
0.01,TEST_S06_T01,competition,12.87658232717803,16.16177543198992,15.810306350287936,0.360894765775606
0.01,TEST_S06_T02,competition,11.184932314590668,15.888831827380642,7.709736081646736,0.374627707240445
0.01,TEST_S07_T02,competition,4.714397130036158,4.949566378651275,3.638459131199122,0.770067746025058
0.01,TEST_S08_T01,competition,1.1150308007812502,0.8935503689529277,1.3075377424240495,0.9279437776180202
0.02,DATA_01_TYPE01,training,6.706652911179421,10.596045921064675,6.441606807569401,0.910195377078102
0.02,DATA_02_TYPE02,training,2.960212903156433,2.6380824140927523,2.600652997734119,0.9841519051150096
0.02,DATA_03_TYPE02,training,3.1111331752232148,3.78231273862014,2.6512415477136755,0.9731951340486694
0.02,DATA_04_TYPE02,training,4.212819277076199,7.210926288428692,3.822524399498007,0.9346541865396284
0.02,DATA_05_TYPE02,training,2.93353624785959,3.390511449402782,2.2859738190842864,0.9786066919776536
0.02,DATA_06_TYPE02,training,6.332992583333334,12.211939446022592,6.510683169411793,0.8308379353422533
0.02,DATA_07_TYPE02,training,5.834640037082163,10.371979967974326,4.169825593552507,0.8645615971197302
0.02,DATA_08_TYPE02,training,3.131713942871093,3.304635125383364,2.844824133794441,0.9722184856093996
0.02,DATA_09_TYPE02,training,2.2487526085360745,1.6722324891730227,1.946568507375908,0.9927445743880402
0.02,DATA_10_TYPE02,training,11.534366304005871,17.281948527171714,7.170840160759741,0.5676248605378197
0.02,DATA_11_TYPE02,training,2.4238596317744756,3.377211628173022,1.6829930816527403,0.9782261173116836
0.02,DATA_12_TYPE02,training,2.193038489940069,1.4832185005237344,1.596450822856874,0.9938563791392064
0.02,TEST_S01_T01,competition,17.39258701034331,15.498032805717337,23.67642218393157,0.3068837142824398
0.02,TEST_S02_T01,competition,22.903136533416973,20.333342526725872,31.037169721414394,0.3389219003583201
0.02,TEST_S02_T02,competition,8.365854397243924,11.60215809261902,7.377195063924647,0.6764451480135025
0.02,TEST_S03_T02,competition,15.85882583778783,14.368254614759532,9.877242598367571,0.516567936830678
0.02,TEST_S04_T02,competition,4.577902962561883,4.264916577502429,3.783600904288951,0.8883340793943486
0.02,TEST_S05_T02,competition,5.014378010549362,5.576159006496513,3.781064356436103,0.8147655126713724
0.02,TEST_S06_T01,competition,14.987814823035038,18.402207453208344,18.44619744710952,0.2915511513824732
0.02,TEST_S06_T02,competition,9.92738358274648,14.496284657417222,6.907358266247249,0.5450424592911208
0.02,TEST_S07_T02,competition,5.990434239411158,6.551685041886196,4.6357109306309425,0.6921215079509696
0.02,TEST_S08_T01,competition,1.3631166015625,1.353924453983168,1.6116040049781326,0.8705068113885391
0.05,DATA_01_TYPE01,training,10.257156101861584,13.76931244173413,10.158381240788811,0.8254477437931912
0.05,DATA_02_TYPE02,training,5.007099503403784,6.8151262961745065,4.694492078126237,0.9277479221889068
0.05,DATA_03_TYPE02,training,3.875323345424106,5.82118224801785,3.4234688386029073,0.9444476353850584
0.05,DATA_04_TYPE02,training,4.5210591208262,6.7180426277231575,4.415323027577721,0.9464429481852872
0.05,DATA_05_TYPE02,training,3.704584741545377,4.569601875965092,2.7386841729165488,0.95542853919866
